date_collected,date_sampled,tube,basket,project
20221204,20221205,1,16,pulchritude
20221204,20221205,2,35,pulchritude
20221204,20221205,3,23,pulchritude
20221204,20221205,4,99,pulchritude
20221204,20221205,5,45,pulchritude
20221204,20221205,6,48,pulchritude
20221204,20221205,7,24,pulchritude
20221204,20221205,8,73,pulchritude
20221204,20221205,9,52,pulchritude
20221204,20221205,10,30,pulchritude
20221204,20221205,11,61,pulchritude
20221204,20221205,12,20,pulchritude
20221204,20221205,13,46,pulchritude
20221204,20221205,14,21,pulchritude
20221204,20221205,15,72,pulchritude
20221204,20221205,16,29,pulchritude
20221204,20221205,17,44,pulchritude
20221204,20221205,18,51,pulchritude
20221204,20221205,19,47,pulchritude
20221204,20221205,20,43,pulchritude
20221204,20221205,21,42,pulchritude
20221204,20221205,22,79,pulchritude
20221204,20221205,23,88,pulchritude
20221204,20221205,24,93,pulchritude
20221204,20221205,25,50,pulchritude
20221204,20221205,26,95,pulchritude
20221204,20221205,27,87,pulchritude
20221204,20221205,28,49,pulchritude
20221204,20221205,29,55,pulchritude
20221204,20221205,30,37,pulchritude
20221204,20221205,31,66,pulchritude
20221204,20221205,32,40,pulchritude
20221204,20221205,33,32,pulchritude
20221204,20221205,34,22,pulchritude
20221204,20221205,35,26,pulchritude
20221204,20221205,36,54,pulchritude
20221204,20221205,37,57,pulchritude
20221204,20221205,38,96,pulchritude
20221204,20221205,39,85,pulchritude
20221205,20221206,40,51,pulchritude
20221205,20221206,41,43,pulchritude
20221205,20221206,42,93,pulchritude
20221205,20221206,43,55,pulchritude
20221205,20221206,44,50,pulchritude
20221205,20221206,45,87,pulchritude
20221205,20221206,46,26,pulchritude
20221205,20221206,47,32,pulchritude
20221205,20221206,48,85,pulchritude
20221205,20221206,49,79,pulchritude
20221205,20221206,50,96,pulchritude
20221205,20221206,51,95,pulchritude
20221205,20221206,52,47,pulchritude
20221205,20221206,53,42,pulchritude
20221205,20221206,54,88,pulchritude
20221205,20221206,55,44,pulchritude
20221205,20221206,56,66,pulchritude
20221205,20221206,57,40,pulchritude
20221205,20221206,58,22,pulchritude
20221205,20221206,59,54,pulchritude
20221205,20221206,60,57,pulchritude
20221205,20221206,61,37,pulchritude
20221208,20221208,62,88,TPCBASS
20221208,20221208,63,42,TPCBASS
20221208,20221208,64,29,TPCBASS
20221208,20221208,65,93,TPCBASS
20221208,20221208,66,35,TPCBASS
20221208,20221208,67,49,TPCBASS
20221208,20221208,68,85,TPCBASS
20221208,20221208,69,87,TPCBASS
20221208,20221208,70,54,TPCBASS
20221208,20221208,71,32,TPCBASS
20221208,20221208,72,46,TPCBASS
20221208,20221208,73,26,TPCBASS
20221208,20221208,74,23,TPCBASS
20221208,20221208,75,43,TPCBASS
20221208,20221208,76,55,TPCBASS
20221208,20221208,77,79,TPCBASS
20221208,20221208,78,30,TPCBASS
20221208,20221208,79,20,TPCBASS
20221208,20221208,80,72,TPCBASS
20221208,20221208,81,22,TPCBASS
20221208,20221208,82,40,TPCBASS
20221208,20221208,83,57,TPCBASS
20221208,20221208,84,52,TPCBASS
20221208,20221208,85,66,TPCBASS
20221208,20221208,86,21,TPCBASS
20221208,20221208,87,61,TPCBASS
20221209,20221210,88,204,pulchritude
20221209,20221210,89,42,pulchritude
20221209,20221210,90,43,pulchritude
20221209,20221210,91,44,pulchritude
20221209,20221210,92,46,pulchritude
20221209,20221210,93,95,pulchritude
20221209,20221210,94,50,pulchritude
20221209,20221210,95,134,pulchritude
20221209,20221210,96,96,pulchritude
20221209,20221210,97,107,pulchritude
20221209,20221210,98,230,pulchritude
20221209,20221210,99,52,pulchritude
20221209,20221210,100,48,pulchritude
20221209,20221210,101,170,pulchritude
20221209,20221210,102,51,pulchritude
20221209,20221210,103,30,pulchritude
20221209,20221210,104,47,pulchritude
20221209,20221210,105,153,pulchritude
20221209,20221210,106,16,pulchritude
20221209,20221210,107,45,pulchritude
20221209,20221210,108,57,pulchritude
20221209,20221210,109,250,pulchritude
20221209,20221210,110,72,pulchritude
20221209,20221210,111,141,pulchritude
20221209,20221210,112,37,pulchritude
20221209,20221210,113,136,pulchritude
20221209,20221210,114,32,pulchritude
20221209,20221210,115,54,pulchritude
20221209,20221210,116,177,pulchritude
20221209,20221210,117,134,pulchritude
20221209,20221210,118,23,pulchritude
20221209,20221210,119,171,pulchritude
20221209,20221210,120,88,pulchritude
20221209,20221210,121,66,pulchritude
20221209,20221210,122,26,pulchritude
20221209,20221210,123,87,pulchritude
20221209,20221210,124,85,pulchritude
20221209,20221210,125,20,pulchritude
20221209,20221210,126,35,pulchritude
20221209,20221210,127,99,pulchritude
20221209,20221210,128,40,pulchritude
20221209,20221210,129,49,pulchritude
20221209,20221210,130,79,pulchritude
20221203,20221210,131,9,pulchritude
20221203,20221210,132,1,pulchritude
20221203,20221210,133,7,pulchritude
20221203,20221210,134,20,pulchritude
20221203,20221210,135,8,pulchritude
20221203,20221210,136,6,pulchritude
20221203,20221210,137,15,pulchritude
20221203,20221210,138,5,pulchritude
20221203,20221210,139,17,pulchritude
20221203,20221210,140,16,pulchritude
20221203,20221210,141,2,pulchritude
20221203,20221210,142,3,pulchritude
20221203,20221210,143,14,pulchritude
20221203,20221210,144,4,pulchritude
20221203,20221210,145,11,pulchritude
20221203,20221210,146,12,pulchritude
20221203,20221210,147,10,pulchritude
20221203,20221210,148,13,pulchritude
20221203,20221210,149,18,pulchritude
20221210,20221211,150,30,pulchritude
20221210,20221211,151,51,pulchritude
20221210,20221211,152,44,pulchritude
20221210,20221211,153,99,pulchritude
20221210,20221211,154,20,pulchritude
20221210,20221211,155,35,pulchritude
20221210,20221211,156,48,pulchritude
20221210,20221211,157,170,pulchritude
20221210,20221211,158,93,pulchritude
20221210,20221211,159,73,pulchritude
20221210,20221211,160,24,pulchritude
20221210,20221211,161,29,pulchritude
20221210,20221211,162,49,pulchritude
20221210,20221211,163,26,pulchritude
20221210,20221211,164,46,pulchritude
20221210,20221211,165,134,pulchritude
20221210,20221211,166,96,pulchritude
20221210,20221211,167,45,pulchritude
20221210,20221211,168,57,pulchritude
20221210,20221211,169,95,pulchritude
20221210,20221211,170,177,pulchritude
20221210,20221211,171,141,pulchritude
20221210,20221211,172,136,pulchritude
20221210,20221211,173,87,pulchritude
20221210,20221211,174,204,pulchritude
20221210,20221211,175,42,pulchritude
20221210,20221211,176,250,pulchritude
20221210,20221211,177,52,pulchritude
20221210,20221211,178,230,pulchritude
20221210,20221211,179,16,pulchritude
20221210,20221211,180,153,pulchritude
20221210,20221211,181,171,pulchritude
20221210,20221211,182,88,pulchritude
20221210,20221211,183,134,pulchritude
20221210,20221211,184,23,pulchritude
20221210,20221211,185,107,pulchritude
20221210,20221211,186,79,pulchritude
20221210,20221211,187,47,pulchritude
20221210,20221211,188,85,pulchritude
20221210,20221211,189,50,pulchritude
20221210,20221211,190,66,pulchritude
20221210,20221211,191,40,pulchritude
20221213,20221213,192,52,pulchritude
20221213,20221213,193,250,pulchritude
20221213,20221213,194,24,pulchritude
20221213,20221213,195,45,pulchritude
20221213,20221213,196,20,pulchritude
20221213,20221213,197,87,pulchritude
20221213,20221213,198,47,pulchritude
20221213,20221213,199,85,pulchritude
20221213,20221213,200,42,pulchritude
20221213,20221213,201,93,pulchritude
20221213,20221213,202,35,pulchritude
20221213,20221213,203,57,pulchritude
20221213,20221213,204,43,pulchritude
20221213,20221213,205,204,pulchritude
20221213,20221213,206,49,pulchritude
20221213,20221213,207,16,pulchritude
20221213,20221213,208,153,pulchritude
20221213,20221213,209,88,pulchritude
20221213,20221213,210,171,pulchritude
20221213,20221213,211,134,pulchritude
20221213,20221213,212,107,pulchritude
20221213,20221213,213,136,pulchritude
20221213,20221213,214,32,pulchritude
20221213,20221213,215,46,pulchritude
20221213,20221213,216,26,pulchritude
20221213,20221213,217,29,pulchritude
20221213,20221213,218,50,pulchritude
20221213,20221213,219,95,pulchritude
20221213,20221213,220,21,pulchritude
20221213,20221213,221,30,pulchritude
20221213,20221213,222,44,pulchritude
20221213,20221213,223,170,pulchritude
20221213,20221213,224,48,pulchritude
20221213,20221213,225,61,pulchritude
20221213,20221213,226,22,pulchritude
20221213,20221213,227,141,pulchritude
20221213,20221213,228,51,pulchritude
20221213,20221213,229,177,pulchritude
20221213,20221213,230,134,pulchritude
20221213,20221213,231,99,pulchritude
20221213,20221213,232,66,pulchritude
20221213,20221213,233,40,pulchritude
