site,date_time.x,date_sampled,time_sampled,tag_no,bag_no,gps_id,collected_by,basket_no,date_CBASS,depth_ft,camera_id,note,...13,date_time_min,time,lat,lon,date_time.y,date
mahana,2022-12-03T21:58:00Z,20221203,11:58:00,1,1,Shedd1,RC/SM,1,20221204,NA,NA,NA,NA,2022-12-03 11:58,2022-12-03T21:58:51Z,-17.489993730559945,-149.88651618361473,2022-12-03T21:58:51Z,2022-12-03
mahana,2022-12-03T22:11:00Z,20221203,12:11:00,2,2,Shedd1,RC/SM,2,20221204,NA,NA,NA,NA,2022-12-03 12:11,2022-12-03T22:11:49Z,-17.489792564883828,-149.8865018505603,2022-12-03T22:11:49Z,2022-12-03
mahana,2022-12-03T22:20:00Z,20221203,12:20:00,3,3,Shedd1,RC/SM,3,20221204,NA,NA,NA,NA,2022-12-03 12:20,2022-12-03T22:20:57Z,-17.489188984036446,-149.88659597933292,2022-12-03T22:20:57Z,2022-12-03
mahana,2022-12-03T22:28:00Z,20221203,12:28:00,4,4,Shedd1,RC/SM,4,20221204,NA,NA,NA,NA,2022-12-03 12:28,2022-12-03T22:28:57Z,-17.48888581059873,-149.88660721108317,2022-12-03T22:28:57Z,2022-12-03
mahana,2022-12-03T22:38:00Z,20221203,12:38:00,5,5,Shedd1,RC/SM,5,20221204,NA,NA,NA,NA,2022-12-03 12:38,2022-12-03T22:38:59Z,-17.488527903333306,-149.88653252832592,2022-12-03T22:38:59Z,2022-12-03
mahana,2022-12-03T22:49:00Z,20221203,12:49:00,6,6,Shedd1,RC/SM,6,20221204,NA,NA,NA,NA,2022-12-03 12:49,2022-12-03T22:49:46Z,-17.488151639699936,-149.88659631460905,2022-12-03T22:49:46Z,2022-12-03
mahana,2022-12-03T22:56:00Z,20221203,12:56:00,7,7,Shedd1,RC/SM,7,20221204,NA,NA,NA,NA,2022-12-03 12:56,2022-12-03T22:56:55Z,-17.488005459308624,-149.88663218915462,2022-12-03T22:56:55Z,2022-12-03
mahana,2022-12-03T23:03:00Z,20221203,13:03:00,8,8,Shedd1,RC/SM,8,20221204,NA,NA,NA,NA,2022-12-03 13:03,2022-12-03T23:03:50Z,-17.487787194550037,-149.88657678477466,2022-12-03T23:03:50Z,2022-12-03
mahana,2022-12-03T23:10:00Z,20221203,13:10:00,9,9,Shedd1,RC/SM,9,20221204,NA,NA,NA,NA,2022-12-03 13:10,2022-12-03T23:10:46Z,-17.48776188120246,-149.88638592883945,2022-12-03T23:10:46Z,2022-12-03
mahana,2022-12-03T23:19:00Z,20221203,13:19:00,10,10,Shedd1,RC/SM,10,20221204,NA,NA,NA,NA,2022-12-03 13:19,2022-12-03T23:19:59Z,-17.487634979188442,-149.8863601963967,2022-12-03T23:19:59Z,2022-12-03
